RespondentID,Have you seen any of the 6 films in the Star Wars franchise?,Do you consider yourself to be a fan of the Star Wars film franchise?,Watched|Movie1,Watched|Movie2,Watched|Movie3,Watched|Movie4,Watched|Movie5,Watched|Movie6,Rank|Movie1,Rank|Movie2,Rank|Movie3,Rank|Movie4,Rank|Movie5,Rank|Movie6,Familiarity|Han Solo,Familiarity|Luke Skywalker,Familiarity|Princess Leia Organa,Familiarity|Anakin Skywalker,Familiarity|Obi Wan Kenobi,Familiarity|Emperor Palpatine,Familiarity|Darth Vader,Familiarity|Lando Calrissian,Familiarity|Boba Fett,Familiarity|C-3P0,Familiarity|R2 D2,Familiarity|Jar Jar Binks,Familiarity|Padme Amidala,Familiarity|Yoda,Which character shot first?,Are you familiar with the Expanded Universe?,Do you consider yourself to be a fan of the Expanded Universe?ξ,Do you consider yourself to be a fan of the Star Trek franchise?,Gender,Age,Household Income,Education,Location (Census Region)
3291446275.0,YES,YES,True,True,True,True,True,True,3.0,5.0,6.0,2.0,4.0,1.0,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,HAN,NO,,YES,MALE,30-44,"$50,000 - $99,999",SOME COLLEGE OR ASSOCIATE DEGREE,MIDDLE ATLANTIC
3291437345.0,YES,NO,True,True,True,True,True,True,4.0,5.0,2.0,1.0,3.0,6.0,VERY FAVORABLY,VERY FAVORABLY,VERY FAVORABLY,SOMEWHAT FAVORABLY,VERY FAVORABLY,SOMEWHAT FAVORABLY,VERY FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,VERY FAVORABLY,VERY FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,VERY FAVORABLY,HAN,NO,,NO,MALE,30-44,"$50,000 - $99,999",SOME COLLEGE OR ASSOCIATE DEGREE,WEST NORTH CENTRAL
3291431939.0,YES,YES,True,True,True,True,True,True,3.0,6.0,4.0,1.0,2.0,5.0,VERY FAVORABLY,VERY FAVORABLY,VERY FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,VERY FAVORABLY,VERY FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,VERY FAVORABLY,VERY FAVORABLY,SOMEWHAT FAVORABLY,VERY FAVORABLY,VERY FAVORABLY,HAN,NO,,YES,FEMALE,30-44,"$25,000 - $49,999",GRADUATE DEGREE,SOUTH ATLANTIC
3291425110.0,YES,YES,True,True,True,True,True,True,6.0,4.0,5.0,1.0,2.0,3.0,VERY FAVORABLY,VERY FAVORABLY,VERY FAVORABLY,SOMEWHAT UNFAVORABLY,VERY FAVORABLY,VERY UNFAVORABLY,VERY FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,VERY FAVORABLY,VERY UNFAVORABLY,NEITHER FAVORABLY NOR UNFAVORABLY (NEUTRAL),VERY FAVORABLY,HAN,YES,NO,YES,FEMALE,30-44,"$50,000 - $99,999",GRADUATE DEGREE,SOUTH ATLANTIC
3291424127.0,YES,YES,True,True,True,True,True,True,4.0,5.0,6.0,3.0,2.0,1.0,VERY FAVORABLY,SOMEWHAT FAVORABLY,VERY FAVORABLY,NEITHER FAVORABLY NOR UNFAVORABLY (NEUTRAL),VERY FAVORABLY,SOMEWHAT UNFAVORABLY,VERY FAVORABLY,SOMEWHAT FAVORABLY,VERY FAVORABLY,VERY FAVORABLY,VERY FAVORABLY,SOMEWHAT UNFAVORABLY,UNFAMILIAR (N/A),VERY FAVORABLY,I DON'T UNDERSTAND THIS QUESTION,NO,,NO,FEMALE,> 60,"$25,000 - $49,999",BACHELOR DEGREE,SOUTH ATLANTIC
3291401326.0,YES,YES,True,True,True,True,True,True,2.0,3.0,4.0,1.0,5.0,6.0,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,NEITHER FAVORABLY NOR UNFAVORABLY (NEUTRAL),VERY FAVORABLY,VERY UNFAVORABLY,VERY UNFAVORABLY,SOMEWHAT UNFAVORABLY,SOMEWHAT UNFAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,VERY UNFAVORABLY,VERY UNFAVORABLY,VERY FAVORABLY,I DON'T UNDERSTAND THIS QUESTION,NO,,YES,MALE,> 60,"$25,000 - $49,999",HIGH SCHOOL DEGREE,MIDDLE ATLANTIC
3291395512.0,YES,YES,True,True,True,True,True,True,6.0,5.0,4.0,2.0,3.0,1.0,VERY FAVORABLY,VERY FAVORABLY,VERY FAVORABLY,SOMEWHAT UNFAVORABLY,VERY FAVORABLY,VERY UNFAVORABLY,SOMEWHAT UNFAVORABLY,SOMEWHAT UNFAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,VERY UNFAVORABLY,VERY FAVORABLY,VERY FAVORABLY,I DON'T UNDERSTAND THIS QUESTION,YES,NO,NO,FEMALE,30-44,"$50,000 - $99,999",BACHELOR DEGREE,SOUTH ATLANTIC
3291364062.0,YES,YES,True,True,True,True,True,True,4.0,3.0,6.0,2.0,5.0,1.0,VERY FAVORABLY,VERY FAVORABLY,VERY FAVORABLY,SOMEWHAT FAVORABLY,VERY FAVORABLY,SOMEWHAT FAVORABLY,VERY FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,VERY FAVORABLY,VERY FAVORABLY,SOMEWHAT FAVORABLY,NEITHER FAVORABLY NOR UNFAVORABLY (NEUTRAL),VERY FAVORABLY,I DON'T UNDERSTAND THIS QUESTION,NO,,YES,MALE,45-60,,SOME COLLEGE OR ASSOCIATE DEGREE,SOUTH ATLANTIC
3291345427.0,YES,YES,True,True,True,True,True,True,4.0,5.0,6.0,1.0,2.0,3.0,VERY FAVORABLY,VERY FAVORABLY,VERY FAVORABLY,SOMEWHAT FAVORABLY,VERY FAVORABLY,SOMEWHAT UNFAVORABLY,SOMEWHAT UNFAVORABLY,VERY FAVORABLY,NEITHER FAVORABLY NOR UNFAVORABLY (NEUTRAL),SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,SOMEWHAT FAVORABLY,VERY FAVORABLY,GREEDO,NO,,NO,FEMALE,> 60,"$100,000 - $149,999",GRADUATE DEGREE,EAST NORTH CENTRAL
3291330710.0,YES,NO,True,True,True,True,True,True,6.0,5.0,4.0,2.0,3.0,1.0,VERY FAVORABLY,VERY FAVORABLY,SOMEWHAT FAVORABLY,NEITHER FAVORABLY NOR UNFAVORABLY (NEUTRAL),NEITHER FAVORABLY NOR UNFAVORABLY (NEUTRAL),NEITHER FAVORABLY NOR UNFAVORABLY (NEUTRAL),VERY FAVORABLY,NEITHER FAVORABLY NOR UNFAVORABLY (NEUTRAL),NEITHER FAVORABLY NOR UNFAVORABLY (NEUTRAL),SOMEWHAT FAVORABLY,VERY FAVORABLY,SOMEWHAT FAVORABLY,NEITHER FAVORABLY NOR UNFAVORABLY (NEUTRAL),VERY FAVORABLY,GREEDO,NO,,NO,MALE,30-44,"$0 - $24,999",SOME COLLEGE OR ASSOCIATE DEGREE,EAST NORTH CENTRAL
